address,score
0x00d3081e9Ea91bCE2Cca7f47441BD185D0c2ACb1,200
0x0c9850593Bd7669482306Fa4842746B980b7178d,2625
0x0fAc332044f88BA323668a25C9784F067ad4c8A5,2646
0x0e33A836cBF2eddB71C7947103757018a2Eef173,3600
0x07b09E76d65dFA50f8783c591081530780aa415c,3050
0x0DCC943109388789e15c383A96326dDc76e62d26,2740
0x073fb47D6d2feba8fa22524108408F4737520E96,3400
0x09E693650FC485EB3eEdC858eae7C07388c3c930,2740
0x06f6B9568b51bA25CAa536473d1Aa367602a8A1b,2741
0x08DB6Ed9B20E68F9d8DdC8991C32Ac8036Cb308d,2500
0x022C0A0A236774fA6C19A2d2bD65D67daC8C8c9a,2499
0x0d7c8d9065D0a47091A29df260F50cEc68c4b2Ce,2501
0x0Eb3E48a8b4a6c9BBe5f3AAf3bac67E4ED2CC682,3201
0x009Cc0D57e3EC92174Bede1F5D53f2e3fC5B056F,2006
0x0515f116646BE7897F751804ef8A110f6661F6cd,3421
0x0C1DcEf58202FF2b58FC6ddE481588bdbE2e5920,2635
